model,component,eigenvalue,explained_energy,cumulative_energy
CNN-SW,43,0.013441335993686505,0.0006695847121007925,0.9806833779659575
CNN-SW,44,0.012890339210858642,0.0006421366204548765,0.9813255145864124
CNN-SW,45,0.012339187834601759,0.0006146808276848524,0.9819401954140973
CNN-SW,46,0.012248628769946705,0.0006101695971595793,0.9825503650112568
CNN-SW,47,0.01175163143986036,0.0005854115065696976,0.9831357765178265
CNN-SW,48,0.010939372603335284,0.000544948557093438,0.9836807250749199
CNN-SW,49,0.010639922289916393,0.0005300313381508225,0.9842107564130707
CNN-SW,50,0.010285796266926129,0.0005123904301887932,0.9847231468432595
CNN-SW,51,0.009622702367491284,0.0004793581826534722,0.9852025050259129
CNN-SW,52,0.009173512805064928,0.00045698165222694267,0.9856594866781399
CNN-SW,53,0.008696378677828846,0.0004332130538250504,0.9860926997319649
CNN-SW,54,0.008012024533156636,0.00039912171996132125,0.9864918214519263
CNN-SW,55,0.007784470377494739,0.0003877860325060134,0.9868796074844323
CNN-SW,56,0.007477130726614122,0.0003724758035415178,0.9872520832879738
CNN-SW,57,0.007216523100084514,0.0003594935462225235,0.9876115768341963
CNN-SW,58,0.007028592981870449,0.00035013174363396094,0.9879617085778303
CNN-SW,59,0.0066172988424282216,0.00032964298655828613,0.9882913515643885
CNN-SW,60,0.0065226680345424025,0.00032492892076275406,0.9886162804851513
CNN-SW,61,0.006154401518033557,0.0003065835993193529,0.9889228640844706
CNN-SW,62,0.00577681311532079,0.0002877739049525295,0.9892106379894231
CNN-SW,63,0.005745324177777619,0.00028620527284712655,0.9894968432622703
CNN-SW,64,0.005383119417885138,0.0002681619198658411,0.9897650051821362
CNN-SW,65,0.005312349316088283,0.0002646364832381689,0.9900296416653743
CNN-SW,66,0.005258257563392212,0.0002619418842285884,0.9902915835496029
CNN-SW,67,0.004902112221069455,0.0002442003831890168,0.990535783932792
CNN-SW,68,0.00479260830532478,0.00023874540848023423,0.9907745293412722
CNN-SW,69,0.004740844335381131,0.00023616676875809706,0.9910106961100303
CNN-SW,70,0.004645215492618246,0.00023140298551661018,0.991242099095547
CNN-SW,71,0.004408114757092866,0.0002195917319470083,0.9914616908274939
CNN-SW,72,0.004185274700852162,0.00020849087895348585,0.9916701817064474
CNN-SW,73,0.004090988951229545,0.00020379400235238598,0.9918739757087998
CNN-SW,74,0.003930267398276271,0.00019578760367199003,0.9920697633124718
CNN-SW,75,0.003735288751002813,0.00018607467621732906,0.9922558379886891
CNN-SW,76,0.003632891952572657,0.0001809737449684485,0.9924368117336575
CNN-SW,77,0.0035547981451919653,0.00017708347546276717,0.9926138952091202
CNN-SW,78,0.0035488733595418235,0.00017678833025579723,0.992790683539376
CNN-SW,79,0.0033004374947863606,0.00016441241337849177,0.9929550959527546
CNN-SW,80,0.003223740788787998,0.00016059174095209647,0.9931156876937066
CNN-SW,81,0.003175548351149164,0.00015819101832326024,0.9932738787120299
CNN-SW,82,0.0031196169010307175,0.00015540477416252124,0.9934292834861924
CNN-SW,83,0.0030436614198143547,0.00015162102610007984,0.9935809045122925
CNN-SW,84,0.0030070643490401044,0.00014979793060498775,0.9937307024428975
CNN-SW,85,0.0028574585981896174,0.00014234526937704893,0.9938730477122746
CNN-SW,86,0.002797816814768935,0.00013937419370423833,0.9940124219059788
CNN-SW,87,0.0026769146973679688,0.00013335141371344523,0.9941457733196922
CNN-SW,88,0.0026347444736591367,0.00013125068971438984,0.9942770240094067
CNN-SW,89,0.002550640681426245,0.00012706103077458675,0.9944040850401812
CNN-SW,90,0.002463576465282397,0.0001227238973134232,0.9945268089374946
CNN-SW,91,0.0024421333196565785,0.00012165569974012073,0.9946484646372347
CNN-SW,92,0.0023297604954372205,0.00011605780938247965,0.9947645224466172
CNN-SW,93,0.0022765328124046535,0.00011340625429629668,0.9948779287009135
CNN-SW,94,0.0022260285444330253,0.0001108903670552123,0.9949888190679688
CNN-SW,95,0.002195787375044724,0.00010938389294371266,0.9950982029609124
CNN-SW,96,0.002099436509892864,0.00010458414191199428,0.9952027871028244
CNN-SW,97,0.00205882552764206,0.00010256109205509705,0.9953053481948795
CNN-SW,98,0.002026574334871213,0.00010095448794695496,0.9954063026828265
CNN-SW,99,0.0019377039325601455,9.652737870917621e-05,0.9955028300615356
CNN-SW,100,0.001833423183632296,9.133259782717859e-05,0.9955941626593628
CNN-SW,101,0.0018120212912818277,9.026645529978163e-05,0.9956844291146626
CNN-SW,102,0.0017486084537404372,8.710752328672949e-05,0.9957715366379494
CNN-SW,103,0.001740133556292707,8.668534339551276e-05,0.9958582219813449
CNN-SW,104,0.0017038987605251007,8.488029475276774e-05,0.9959431022760976
CNN-SW,105,0.0016868313269610615,8.403007476015357e-05,0.9960271323508577
CNN-SW,106,0.0016471470087197327,8.20531869852317e-05,0.996109185537843
CNN-SW,107,0.0015946994515544325,7.944049413376122e-05,0.9961886260319768
CNN-SW,108,0.0015627153370954831,7.784719462232474e-05,0.9962664732265991
CNN-SW,109,0.0015461459454456658,7.702178475661351e-05,0.9963434950113558
CNN-SW,110,0.0014920256614115535,7.43257644487501e-05,0.9964178207758045
CNN-SW,111,0.0014618463847209905,7.282237354298356e-05,0.9964906431493475
CNN-SW,112,0.001452405786184243,7.235208692443193e-05,0.996562995236272
CNN-SW,113,0.0013849755077082243,6.899302472842338e-05,0.9966319882610004
CNN-SW,114,0.00137379484457213,6.843605620158988e-05,0.996700424317202
CNN-SW,115,0.0013382658787374408,6.666616871638503e-05,0.9967670904859184
CNN-SW,116,0.0013249556062794698,6.600311297877534e-05,0.9968330935988972
CNN-SW,117,0.001290832657613963,6.4303266715803e-05,0.996897396865613
CNN-SW,118,0.0012405665325871615,6.179924264629812e-05,0.9969591961082592
CNN-SW,119,0.0012095788048179835,6.025557847580728e-05,0.997019451686735
CNN-SW,120,0.0011978299487737046,5.967030522650994e-05,0.9970791219919615
CNN-SW,121,0.0011823709079459117,5.8900207863651505e-05,0.9971380221998252
CNN-SW,122,0.0011561417929967339,5.7593595605007496e-05,0.9971956157954301
CNN-SW,123,0.001138910142146406,5.6735195072571e-05,0.9972523509905027
CNN-SW,124,0.0011100366941546357,5.529685446639855e-05,0.9973076478449691
CNN-SW,125,0.0010987472532179468,5.473446713652878e-05,0.9973623823121056
CNN-SW,126,0.001073014622414522,5.3452587404023e-05,0.9974158348995096
CNN-SW,127,0.0010535201562087892,5.248146395706391e-05,0.9974683163634667
CNN-SW,128,0.0010221408541012925,5.091829337807971e-05,0.9975192346568448
CNN-SW,129,0.0010036344991788567,4.9996393029885554e-05,0.9975692310498747
CNN-SW,130,0.000985202803076519,4.9078211836140385e-05,0.9976183092617109
CNN-SW,131,0.0009740387082030747,4.852206866293109e-05,0.9976668313303738
CNN-SW,132,0.0009342414877127097,4.653955662417471e-05,0.997713370886998
CNN-SW,133,0.0009267558405371693,4.616665657084098e-05,0.9977595375435688
CNN-SW,134,0.0009208367329585583,4.5871794218930465e-05,0.9978054093377877
CNN-SW,135,0.0009048358388403626,4.507470425060293e-05,0.9978504840420384
CNN-SW,136,0.000866618268681783,4.317088302897406e-05,0.9978936549250673
CNN-SW,137,0.000849446205320137,4.2315450867499555e-05,0.9979359703759348
CNN-SW,138,0.0008480947597286928,4.224812814692386e-05,0.9979782185040817
CNN-SW,139,0.0008235459906619844,4.1025222888422645e-05,0.9980192437269702
CNN-SW,140,0.0007922509501124336,3.946624982753077e-05,0.9980587099767977
CNN-SW,141,0.0007893428234263933,3.932138051016979e-05,0.9980980313573079
CNN-SW,142,0.0007818381472544035,3.894753252092291e-05,0.9981369788898288
CNN-SW,143,0.0007718752717474548,3.84512284979337e-05,0.9981754301183267
CNN-SW,144,0.0007471653254738571,3.72202941421967e-05,0.9982126504124689
CNN-SW,145,0.0007370386261549999,3.67158291804449e-05,0.9982493662416493
CNN-SW,146,0.000722836865225492,3.600836364221451e-05,0.9982853746052915
CNN-SW,147,0.0007204005867175238,3.588699960190472e-05,0.9983212616048934
CNN-SW,148,0.0007191698997680032,3.582569251404024e-05,0.9983570872974075
CNN-SW,149,0.0006877074225401189,3.425837853821924e-05,0.9983913456759457
CNN-SW,150,0.0006807115657824493,3.390987756069864e-05,0.9984252555535064
CNN-SW,151,0.0006758569033312738,3.366804090389282e-05,0.9984589235944102
CNN-SW,152,0.000671623100960474,3.345713260259932e-05,0.9984923807270129
CNN-SW,153,0.0006510322598936915,3.2431392870024316e-05,0.9985248121198829
CNN-SW,154,0.0006258694941853751,3.1177901160541225e-05,0.9985559900210434
CNN-SW,155,0.0006143516538118605,3.060413603524824e-05,0.9985865941570787
CNN-SW,156,0.0005991865388442581,2.9848680688820843e-05,0.9986164428377675
CNN-SW,157,0.0005951904470550709,2.964961402078665e-05,0.9986460924517883
CNN-SW,158,0.0005852169720681822,2.915278198110867e-05,0.9986752452337694
CNN-SW,159,0.0005746015387946476,2.8623970571616075e-05,0.998703869204341
CNN-SW,160,0.000564677602103921,2.812960629896581e-05,0.9987319988106399
CNN-SW,161,0.0005583088401502035,2.7812344261827433e-05,0.9987598111549018
CNN-SW,162,0.0005533829618785571,2.7566959964766996e-05,0.9987873781148665
CNN-SW,163,0.0005462632580072654,2.7212289501269843e-05,0.9988145904043678
CNN-SW,164,0.0005381162095071196,2.6806441516590074e-05,0.9988413968458844
CNN-SW,165,0.0005353570569681223,2.666899339689911e-05,0.9988680658392812
CNN-SW,166,0.0005312327231682273,2.6463538309599205e-05,0.9988945293775908
CNN-SW,167,0.000517760459315658,2.5792412915716803e-05,0.9989203217905065
CNN-SW,168,0.0005059580081217736,2.52044698058613e-05,0.9989455262603123
CNN-SW,169,0.0004958931605859954,2.4703086011664957e-05,0.998970229346324
CNN-SW,170,0.0004929218566882943,2.4555069500074096e-05,0.998994784415824
CNN-SW,171,0.0004798470665657928,2.390374439488622e-05,0.9990186881602189
CNN-SW,172,0.00047423040081507586,2.3623948285226684e-05,0.9990423121085041
CNN-SW,173,0.0004721065088769452,2.3518145887861244e-05,0.999065830254392
CNN-SW,174,0.00046515225148655677,2.3171717196933107e-05,0.9990890019715889
CNN-SW,175,0.00045664202488189526,2.2747777371779467e-05,0.9991117497489607
CNN-SW,176,0.00044581894691782253,2.2208622071590408e-05,0.9991339583710322
CNN-SW,177,0.0004337081726400683,2.1605319742722452e-05,0.999155563690775
CNN-SW,178,0.0004235686188090508,2.1100214429086864e-05,0.9991766639052041
CNN-SW,179,0.00041552703723607057,2.069962031516038e-05,0.9991973635255192
CNN-SW,180,0.00041199745058485306,2.0523792758822204e-05,0.9992178873182781
CNN-SW,181,0.0004062276965674794,2.02363705052285e-05,0.9992381236887833
CNN-SW,182,0.00039701756882601884,1.9777564867524473e-05,0.9992579012536508
CNN-SW,183,0.00038934233912311006,1.9395220696279628e-05,0.999277296474347
CNN-SW,184,0.00038442395958830904,1.9150209951338868e-05,0.9992964466842984
CNN-SW,185,0.0003769194557988413,1.8776370549385797e-05,0.9993152230548478
CNN-SW,186,0.00036912593037406304,1.8388133436627698e-05,0.9993336111882843
CNN-SW,187,0.00036559737131880134,1.821235707033064e-05,0.9993518235453547
CNN-SW,188,0.00035394322652703195,1.7631801894205055e-05,0.9993694553472489
CNN-SW,189,0.0003510102691604456,1.7485695628069598e-05,0.999386941042877
CNN-SW,190,0.00034090086760125884,1.6982092360083524e-05,0.9994039231352371
CNN-SW,191,0.00033546968078126347,1.6711535946276118e-05,0.9994206346711834
CNN-SW,192,0.00033267827841860646,1.6572481290679748e-05,0.9994372071524741
CNN-SW,193,0.00032968377691512175,1.6423309182487675e-05,0.9994536304616566
CNN-SW,194,0.0003158220695804793,1.573278352943863e-05,0.999469363245186
CNN-SW,195,0.0003093954090996161,1.541263725753013e-05,0.9994847758824436
CNN-SW,196,0.0003038563224233333,1.5136705775779932e-05,0.9994999125882194
CNN-SW,197,0.00030312037760369775,1.5100044434942296e-05,0.9995150126326543
CNN-SW,198,0.0002965484623609294,1.4772662247796107e-05,0.9995297852949021
CNN-SW,199,0.00029025763116881267,1.4459282357982574e-05,0.9995442445772601
CNN-SW,200,0.00028402779032797544,1.4148940723207198e-05,0.9995583935179833
CNN-SW,201,0.000276860495527466,1.379189950142725e-05,0.9995721854174847
CNN-SW,202,0.0002740764857671525,1.3653213110824346e-05,0.9995858386305956
CNN-SW,203,0.00026714569461119245,1.3307953398324484e-05,0.999599146583994
CNN-SW,204,0.00026114339958497235,1.3008947035492443e-05,0.9996121555310294
CNN-SW,205,0.0002568962976969141,1.2797376214235244e-05,0.9996249529072436
CNN-SW,206,0.00025373388133079216,1.2639839370200751e-05,0.9996375927466138
CNN-SW,207,0.0002470397961758878,1.2306371247438983e-05,0.9996498991178612
CNN-SW,208,0.00024395588728735223,1.2152745280031794e-05,0.9996620518631412
CNN-SW,209,0.00023839619174167344,1.1875787160461688e-05,0.9996739276503016
CNN-SW,210,0.00023544150089380733,1.1728598233583843e-05,0.9996856562485352
CNN-SW,211,0.00023258680505757078,1.1586390592130671e-05,0.9996972426391274
CNN-SW,212,0.00022166259849004514,1.104219753625572e-05,0.9997082848366636
CNN-SW,213,0.00021940448619221843,1.0929708906141737e-05,0.9997192145455698
CNN-SW,214,0.00021146864218699434,1.0534382145021364e-05,0.9997297489277148
CNN-SW,215,0.00020932222780397126,1.0427457784423535e-05,0.9997401763854993
